Key	PY+T	Pho+T	IPA+T	PY-T	Pho-T	IPA-T	Tone	SyStruct	SyLen	OrthLen	PhoLen	FreqPM	Words	HomoDensity	Dominate-POS	Freq-Dominate-POS	Percent-Dominate-POS	Other-POSes	Num-Neighbors	R-Neighbors	A-Neighbors	S-Neighbors	Neighbors	Freq-Neighbors
iaI 0									0.000	0	0	0.0		0		0	0.000		1	1	0	0	ia 0	10700
iaI 1									0.000	0	0	0.0		0		0	0.000		28	28	0	0	i 1, a 1, iaU 1, @n 1, y 1, ua 1, oU 1, in 1, yE 1, iN 1, ia 1, aI 1, u 1, an 1, iEn 1, ioU 1, yn 1, uan 1, ueI 1, uo 1, uaI 1, aN 1, iE 1, aU 1, u@n 1, iaN 1, u@N 1, yEn 1	480161
iaI 2									0.000	0	0	0.0		0		0	0.000		23	23	0	0	oU 2, ueI 2, @r 2, uan 2, yEn 2, iN 2, ioU 2, u 2, u@n 2, iE 2, iEn 2, i 2, uaN 2, ia 2, iaN 2, aU 2, @ 2, iaU 2, in 2, yn 2, aN 2, ua 2, aI 2	250289
iaI 3									0.000	0	0	0.0		0		0	0.000		24	24	0	0	uo 3, ioU 3, iE 3, i 3, y 3, u 3, uan 3, uaN 3, yEn 3, iEn 3, @r 3, iaN 3, u@n 3, iaU 3, in 3, ioN 3, iN 3, @ 3, ueI 3, aI 3, oU 3, ua 3, ia 3, an 3	2204797
iaI 4									0.000	0	0	0.0		0		0	0.000		29	29	0	0	iaU 4, ioN 4, ioU 4, ueI 4, aI 4, oU 4, @ 4, u@n 4, yE 4, an 4, uaN 4, uan 4, i 4, iE 4, @r 4, uaI 4, yEn 4, u 4, iaN 4, ia 4, yn 4, in 4, aU 4, iN 4, iEn 4, uo 4, eI 4, ua 4, @n 4	553698
c uaI 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
C uaI 0									0.000	0	0	0.0		0		0	0.000		2	2	0	0	C uaI 4, C uaI 3	227
c uaI 1									0.000	0	0	0.0		0		0	0.000		14	13	0	1	c aI 1, c aU 1, S uaI 1, c a 1, k uaI 1, c an 1, c aN 1, c un 1, c u 1, c ueI 1, c oN 1, c uo 1, c uan 1, uaI 1	18042
c uaI 2									0.000	0	0	0.0		0		0	0.000		9	9	0	0	c oN 2, c aI 2, c 1 2, c aN 2, c @N 2, c un 2, x uaI 2, c an 2, c aU 2	96235
c uaI 3									0.000	0	0	0.0		0		0	0.000		7	7	0	0	c 1 3, c aI 3, S uaI 3, c an 3, c aU 3, k uaI 3, C uaI 3	12660
c uaI 4									0.000	0	0	0.0		0		0	0.000		17	16	0	1	K uaI 4, c 1 4, c uo 4, x uaI 4, k uaI 4, c aI 4, c @ 4, S uaI 4, Z uaI 4, c un 4, c ueI 4, c oU 4, c u 4, C uaI 4, c uan 4, c @N 4, uaI 4	167673
f uaI 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
f uaI 1									0.000	0	0	0.0		0		0	0.000		10	9	0	1	f @N 1, f eI 1, f a 1, f an 1, f aN 1, S uaI 1, f u 1, k uaI 1, f @n 1, uaI 1	33209
f uaI 2									0.000	0	0	0.0		0		0	0.000		8	8	0	0	f u 2, f aN 2, f an 2, f eI 2, f @N 2, x uaI 2, f a 2, f @n 2	14062
f uaI 3									0.000	0	0	0.0		0		0	0.000		10	10	0	0	f a 3, f an 3, S uaI 3, f @n 3, f u 3, f aN 3, k uaI 3, f eI 3, f oU 3, C uaI 3	10130
f uaI 4									0.000	0	0	0.0		0		0	0.000		13	12	0	1	K uaI 4, f aN 4, f @n 4, f u 4, x uaI 4, f an 4, k uaI 4, f eI 4, S uaI 4, Z uaI 4, f @N 4, C uaI 4, uaI 4	135290
i uaI 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
i uaI 1									0.000	0	0	0.0		0		0	0.000		4	2	0	2	S uaI 1, k uaI 1, i 1, uaI 1	209259
i uaI 2									0.000	0	0	0.0		0		0	0.000		2	1	0	1	x uaI 2, i 2	2771
i uaI 3									0.000	0	0	0.0		0		0	0.000		4	3	0	1	S uaI 3, k uaI 3, C uaI 3, i 3	21655
