Key	PY+T	Pho+T	IPA+T	PY-T	Pho-T	IPA-T	Tone	SyStruct	SyLen	OrthLen	PhoLen	FreqPM	Words	HomoDensity	Dominate-POS	Freq-Dominate-POS	Percent-Dominate-POS	Other-POSes	Num-Neighbors	R-Neighbors	A-Neighbors	S-Neighbors	Neighbors	Freq-Neighbors
J uaN									0.000	0	0	0.0		0		0	0.000		7	7	0	0	J ioU, J i, J iaU, J ia, J iE, J y, J yE	507652
J ueI									0.000	0	0	0.0		0		0	0.000		30	24	5	1	x ueI, J ioU, t ueI, J i, z ueI, J iaU, J ia, J iE, J y, i ueI, S ueI, s ueI, T ueI, k ueI, Z ueI, J yE, C ueI, r ueI, c ueI, K ueI, u ueI, uaI ueI, ueI ueI, ioU ueI, J iE ueI, J ioU ueI, J i ueI, J ia ueI, J iaU ueI, ueI	1170590
J un									0.000	0	0	0.0		0		0	0.000		7	7	0	0	J ioU, J i, J iaU, J ia, J iE, J y, J yE	507652
J uN									0.000	0	0	0.0		0		0	0.000		7	7	0	0	J ioU, J i, J iaU, J ia, J iE, J y, J yE	507652
J uo									0.000	0	0	0.0		0		0	0.000		27	25	1	1	J ioU, S uo, x uo, z uo, k uo, Z uo, J i, t uo, J iaU, J ia, c uo, J iE, s uo, J y, m uo, l uo, T uo, p uo, P uo, J yE, r uo, n uo, C uo, K uo, i uo, J ioU uo, uo	3109714
J y									0.000	0	0	0.0		0		0	0.000		34	20	13	1	J ioU, Q y, J i, J iaU, J ia, J iE, n y, X y, J yE, ioU y, l y, uaI y, @ y, iE y, ueI y, i y, yE y, oU y, @r y, y y, J y n, J iaU y, J i y, J y ioU, i J y, ueI J y, ioU J y, J ia y, J y @, J iE y, y J y, uo J y, ia J y, y	721030
J yE									0.000	0	0	0.0		0		0	0.000		24	16	7	1	J ioU, J i, J iaU, J ia, J iE, J y, Q yE, X yE, y yE, l yE, n yE, u yE, i yE, @r yE, ioU yE, ueI yE, J yE n, ua J yE, J ioU yE, J iE yE, J yE i, ueI J yE, J yE u, yE	553796
J yEn									0.000	0	0	0.0		0		0	0.000		7	7	0	0	J ioU, J i, J iaU, J ia, J iE, J y, J yE	507652
J yEN									0.000	0	0	0.0		0		0	0.000		7	7	0	0	J ioU, J i, J iaU, J ia, J iE, J y, J yE	507652
J yn									0.000	0	0	0.0		0		0	0.000		7	7	0	0	J ioU, J i, J iaU, J ia, J iE, J y, J yE	507652
J yN									0.000	0	0	0.0		0		0	0.000		7	7	0	0	J ioU, J i, J iaU, J ia, J iE, J y, J yE	507652
K @									0.000	0	0	0.0		0		0	0.000		40	24	15	1	t @, Z @, k @, n @, K uaI, K aI, C @, x @, K u, K aU, S @, K oU, r @, T @, K a, s @, l @, z @, c @, K ua, K ueI, aI @, K uo, y @, K @ i, K @ aI, K @ n, i K @, uaI K @, K @ u, K @ N, ioU K @, ia K @, @r K @, u K @, yE K @, y K @, K @ uaI, K @ ueI, @	2561289
k @n									0.000	0	0	0.0		0		0	0.000		11	11	0	0	k @, k eI, k uo, k aI, k aU, k oU, k ueI, k uaI, k u, k ua, k a	532727
k @N									0.000	0	0	0.0		0		0	0.000		11	11	0	0	k @, k eI, k uo, k aI, k aU, k oU, k ueI, k uaI, k u, k ua, k a	532727
K @n									0.000	0	0	0.0		0		0	0.000		10	10	0	0	K uaI, K @, K aI, K u, K aU, K oU, K a, K ua, K ueI, K uo	180998
K @N									0.000	0	0	0.0		0		0	0.000		10	10	0	0	K uaI, K @, K aI, K u, K aU, K oU, K a, K ua, K ueI, K uo	180998
k @r									0.000	0	0	0.0		0		0	0.000		20	17	2	1	k @, k eI, k uo, k aI, k aU, k oU, k ueI, k uaI, k u, k ua, oU @r, ioU @r, ueI @r, k a, y @r, i @r, yE @r, k u @r, k @ @r, @r	589460
K @r									0.000	0	0	0.0		0		0	0.000		19	16	2	1	K uaI, K @, K aI, K u, K aU, K oU, K a, K ua, oU @r, K ueI, ioU @r, ueI @r, y @r, K uo, i @r, yE @r, K ueI @r, K uaI @r, @r	237393
