Key	PY+T	Pho+T	IPA+T	PY-T	Pho-T	IPA-T	Tone	SyStruct	SyLen	OrthLen	PhoLen	FreqPM	Words	HomoDensity	Dominate-POS	Freq-Dominate-POS	Percent-Dominate-POS	Other-POSes	Num-Neighbors	R-Neighbors	A-Neighbors	S-Neighbors	Neighbors	Freq-Neighbors
iaI 0									0.000	0	0	0.0		0		0	0.000		1	1	0	0	ia 0	10700
iaI 1									0.000	0	0	0.0		0		0	0.000		16	16	0	0	i 1, a 1, iaU 1, y 1, ua 1, oU 1, yE 1, ia 1, aI 1, u 1, ioU 1, ueI 1, uo 1, uaI 1, iE 1, aU 1	428202
iaI 2									0.000	0	0	0.0		0		0	0.000		13	13	0	0	oU 2, ueI 2, @r 2, ioU 2, u 2, iE 2, i 2, ia 2, aU 2, @ 2, iaU 2, ua 2, aI 2	193192
iaI 3									0.000	0	0	0.0		0		0	0.000		14	14	0	0	uo 3, ioU 3, iE 3, i 3, y 3, u 3, @r 3, iaU 3, @ 3, ueI 3, aI 3, oU 3, ua 3, ia 3	2165648
iaI 4									0.000	0	0	0.0		0		0	0.000		17	17	0	0	iaU 4, ioU 4, ueI 4, aI 4, oU 4, @ 4, yE 4, i 4, iE 4, @r 4, uaI 4, u 4, ia 4, aU 4, uo 4, eI 4, ua 4	447082
c uaI 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
C uaI 0									0.000	0	0	0.0		0		0	0.000		2	2	0	0	C uaI 4, C uaI 3	227
c uaI 1									0.000	0	0	0.0		0		0	0.000		9	8	0	1	c aI 1, c aU 1, S uaI 1, c a 1, k uaI 1, c u 1, c ueI 1, c uo 1, uaI 1	15736
c uaI 2									0.000	0	0	0.0		0		0	0.000		4	4	0	0	c aI 2, c 1 2, x uaI 2, c aU 2	41926
c uaI 3									0.000	0	0	0.0		0		0	0.000		6	6	0	0	c 1 3, c aI 3, S uaI 3, c aU 3, k uaI 3, C uaI 3	11608
c uaI 4									0.000	0	0	0.0		0		0	0.000		14	13	0	1	K uaI 4, c 1 4, c uo 4, x uaI 4, k uaI 4, c aI 4, c @ 4, S uaI 4, Z uaI 4, c ueI 4, c oU 4, c u 4, C uaI 4, uaI 4	166976
f uaI 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
f uaI 1									0.000	0	0	0.0		0		0	0.000		6	5	0	1	f eI 1, f a 1, S uaI 1, f u 1, k uaI 1, uaI 1	17413
f uaI 2									0.000	0	0	0.0		0		0	0.000		4	4	0	0	f u 2, f eI 2, x uaI 2, f a 2	7627
f uaI 3									0.000	0	0	0.0		0		0	0.000		7	7	0	0	f a 3, S uaI 3, f u 3, k uaI 3, f eI 3, f oU 3, C uaI 3	7381
f uaI 4									0.000	0	0	0.0		0		0	0.000		9	8	0	1	K uaI 4, f u 4, x uaI 4, k uaI 4, f eI 4, S uaI 4, Z uaI 4, C uaI 4, uaI 4	93716
i uaI 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
i uaI 1									0.000	0	0	0.0		0		0	0.000		6	4	0	2	i n 1, i N 1, S uaI 1, k uaI 1, i 1, uaI 1	215961
i uaI 2									0.000	0	0	0.0		0		0	0.000		4	3	0	1	i N 2, i n 2, x uaI 2, i 2	12736
i uaI 3									0.000	0	0	0.0		0		0	0.000		6	5	0	1	i n 3, S uaI 3, i N 3, k uaI 3, C uaI 3, i 3	24013
i uaI 4									0.000	0	0	0.0		0		0	0.000		12	8	2	2	K uaI 4, x uaI 4, k uaI 4, i n 4, i N 4, S uaI 4, Z uaI 4, C uaI 4, i 4 uaI 4, i 3 uaI 4, i 4, uaI 4	92725
J uaI 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
J uaI 1									0.000	0	0	0.0		0		0	0.000		10	9	0	1	J ia 1, J iE 1, J i 1, J iaU 1, J y 1, S uaI 1, k uaI 1, J ioU 1, J yE 1, uaI 1	65762
J uaI 2									0.000	0	0	0.0		0		0	0.000		6	6	0	0	J i 2, J iE 2, J y 2, J yE 2, x uaI 2, J ia 2	29333
J uaI 3									0.000	0	0	0.0		0		0	0.000		9	9	0	0	J i 3, J ioU 3, J iaU 3, J y 3, J iE 3, S uaI 3, J ia 3, k uaI 3, C uaI 3	50068
J uaI 4									0.000	0	0	0.0		0		0	0.000		13	12	0	1	J ioU 4, K uaI 4, J iaU 4, J i 4, J y 4, J ia 4, x uaI 4, J iE 4, k uaI 4, S uaI 4, Z uaI 4, C uaI 4, uaI 4	448978
k uaI 0									0.000	0	0	0.0		0		0	0.000		4	4	0	0	k @ 0, k uaI 4, k uaI 1, k uaI 3	179886
K uaI 0									0.000	0	0	0.0		0		0	0.000		1	1	0	0	K uaI 4	62891
K uaI 1									0.000	0	0	0.0		0		0	0.000		11	10	0	1	K uaI 4, K aI 1, K @ 1, K u 1, S uaI 1, k uaI 1, K ua 1, K ueI 1, K a 1, K oU 1, uaI 1	102900
K uaI 2									0.000	0	0	0.0		0		0	0.000		4	4	0	0	K uaI 4, x uaI 2, K @ 2, K ueI 2	64138
l uaI 0									0.000	0	0	0.0		0		0	0.000		3	3	0	0	l @ 0, l i 0, l eI 0	1695
l uaI 1									0.000	0	0	0.0		0		0	0.000		7	6	0	1	l a 1, S uaI 1, k uaI 1, l ioU 1, l aU 1, l iE 1, uaI 1	26180
l uaI 2									0.000	0	0	0.0		0		0	0.000		11	11	0	0	l aI 2, l ioU 2, l i 2, l oU 2, l uo 2, l eI 2, l iaU 2, l aU 2, x uaI 2, l u 2, l y 2	219243
