Key	PY+T	Pho+T	IPA+T	PY-T	Pho-T	IPA-T	Tone	SyStruct	SyLen	OrthLen	PhoLen	FreqPM	Words	HomoDensity	Dominate-POS	Freq-Dominate-POS	Percent-Dominate-POS	Other-POSes	Num-Neighbors	R-Neighbors	A-Neighbors	S-Neighbors	Neighbors	Freq-Neighbors
J u aN									0.000	0	0	0.0		0		0	0.000		13	11	1	1	J i aN, Z u aN, C u aN, S u aN, k u aN, K u aN, x u aN, i u aN, y u aN, u u aN, yn u aN, J yn u aN, u aN	85843
J u eI									0.000	0	0	0.0		0		0	0.000		19	16	2	1	x u eI, t u eI, z u eI, in u eI, i u eI, S u eI, s u eI, T u eI, k u eI, Z u eI, C u eI, r u eI, an u eI, c u eI, K u eI, u u eI, J iN u eI, J i u eI, u eI	723448
J un									0.000	0	0	0.0		0		0	0.000		18	18	0	0	J i, J iN, J in, J y, x un, t un, k un, C un, l un, J yn, Z un, c un, K un, T un, S un, z un, s un, r un	190816
J uN									0.000	0	0	0.0		0		0	0.000		5	5	0	0	J i, J iN, J in, J y, J yn	160700
J u o									0.000	0	0	0.0		0		0	0.000		16	14	1	1	S u o, k u o, t u o, c u o, s u o, l u o, T u o, p u o, P u o, r u o, n u o, C u o, K u o, i u o, J in u o, u o	2170978
J y									0.000	0	0	0.0		0		0	0.000		27	17	9	1	Q y, J i, J iN, J in, n y, X y, J yn, l y, iN y, @ y, i y, in y, an y, oU y, yn y, @r y, y y, J y E, J y En, J i y, i J y, J iN y, J in y, J y @, in J y, y J y, y	371774
J y E									0.000	0	0	0.0		0		0	0.000		16	12	2	2	J i E, Q y E, X y E, in y E, J y En, y y E, l y E, n y E, u y E, J y @, i y E, @r y E, J y E i, J y E u, y E, J y	100017
J y En									0.000	0	0	0.0		0		0	0.000		16	11	3	2	J i En, Q y En, X y En, i y En, J y E, @n y En, oU y En, J y @, iN y En, u y En, in y En, J y y En, J iN y En, J i y En, y En, J y	139453
J y EN									0.000	0	0	0.0		0		0	0.000		4	3	0	1	J y E, J y En, J y @, J y	23829
J yn									0.000	0	0	0.0		0		0	0.000		14	9	4	1	J i, J iN, J in, J y, Q yn, X yn, @ yn, aU yn, u yn, iN J yn, J yn iN, J yn yn, J yn i, yn	167379
J yN									0.000	0	0	0.0		0		0	0.000		5	5	0	0	J i, J iN, J in, J y, J yn	160700
K @									0.000	0	0	0.0		0		0	0.000		34	26	7	1	t @, Z @, k @, K an, n @, K aI, C @, x @, K u, K aU, S @, K oU, r @, T @, K oN, K a, s @, l @, K @n, z @, K un, c @, K aN, K @N, aI @, y @, K @ i, K @ aI, i K @, K @ u, @r K @, u K @, y K @, @	2606698
k @n									0.000	0	0	0.0		0		0	0.000		28	26	1	1	x @n, r @n, k @, k eI, Z @n, m @n, k aI, u @n, k aU, k oU, f @n, k an, S @n, p @n, k aN, k u, k oN, k un, K @n, C @n, z @n, P @n, s @n, n @n, k a, k @N, k an @n, @n	1114496
k @N									0.000	0	0	0.0		0		0	0.000		31	30	1	0	k @, n @N, k eI, k @n, k aI, t @N, Z @N, k aU, k oU, C @N, S @N, k an, f @N, k aN, r @N, k u, m @N, k oN, z @N, P @N, k un, T @N, l @N, c @N, x @N, p @N, K @N, k a, u @N, s @N, k @N i	819083
K @n									0.000	0	0	0.0		0		0	0.000		26	25	0	1	x @n, r @n, Z @n, K an, k @n, K @, m @n, u @n, K aI, f @n, S @n, p @n, K u, K aU, K oU, K oN, K a, K un, C @n, z @n, P @n, s @n, K aN, K @N, n @n, @n	968469
