Key	PY+T	Pho+T	IPA+T	PY-T	Pho-T	IPA-T	Tone	SyStruct	SyLen	OrthLen	PhoLen	FreqPM	Words	HomoDensity	Dominate-POS	Freq-Dominate-POS	Percent-Dominate-POS	Other-POSes	Num-Neighbors	R-Neighbors	A-Neighbors	S-Neighbors	Neighbors	Freq-Neighbors
i aI 0									0.000	0	0	0.0		0		0	0.000		1	1	0	0	i a 0	10700
i aI 1									0.000	0	0	0.0		0		0	0.000		20	18	0	2	i aU 1, k aI 1, K aI 1, x aI 1, t aI 1, P aI 1, c aI 1, i a 1, i En 1, i oU 1, C aI 1, u aI 1, z aI 1, T aI 1, i E 1, p aI 1, s aI 1, i aN 1, i 1, aI 1	370617
i aI 2									0.000	0	0	0.0		0		0	0.000		17	15	0	2	l aI 2, c aI 2, i oU 2, T aI 2, i E 2, P aI 2, i En 2, p aI 2, i a 2, i aN 2, m aI 2, i aU 2, x aI 2, Z aI 2, C aI 2, i 2, aI 2	258284
i aI 3									0.000	0	0	0.0		0		0	0.000		19	17	0	2	i oU 3, i E 3, m aI 3, i En 3, i aN 3, p aI 3, i aU 3, k aI 3, x aI 3, c aI 3, i oN 3, n aI 3, z aI 3, i a 3, K aI 3, Z aI 3, t aI 3, i 3, aI 3	482959
i aI 4									0.000	0	0	0.0		0		0	0.000		24	22	0	2	z aI 4, i aU 4, T aI 4, i oN 4, t aI 4, i oU 4, m aI 4, P aI 4, i E 4, u aI 4, i aN 4, s aI 4, i a 4, x aI 4, c aI 4, p aI 4, k aI 4, i En 4, n aI 4, l aI 4, S aI 4, Z aI 4, aI 4, i 4	1003239
c u aI 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
C u aI 0									0.000	0	0	0.0		0		0	0.000		2	2	0	0	C u aI 4, C u aI 3	227
c u aI 1									0.000	0	0	0.0		0		0	0.000		7	4	0	3	S u aI 1, k u aI 1, c u eI 1, c u o 1, c aI 1, u aI 1, c u 1	10510
c u aI 2									0.000	0	0	0.0		0		0	0.000		2	1	0	1	x u aI 2, c aI 2	37797
c u aI 3									0.000	0	0	0.0		0		0	0.000		4	3	0	1	S u aI 3, k u aI 3, C u aI 3, c aI 3	3264
c u aI 4									0.000	0	0	0.0		0		0	0.000		12	9	0	3	K u aI 4, c u o 4, x u aI 4, k u aI 4, S u aI 4, Z u aI 4, c u eI 4, C u aI 4, c u an 4, u aI 4, c aI 4, c u 4	120052
f u aI 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
f u aI 1									0.000	0	0	0.0		0		0	0.000		4	2	0	2	S u aI 1, k u aI 1, f u 1, u aI 1	4575
f u aI 2									0.000	0	0	0.0		0		0	0.000		2	1	0	1	x u aI 2, f u 2	5891
f u aI 3									0.000	0	0	0.0		0		0	0.000		4	3	0	1	S u aI 3, k u aI 3, C u aI 3, f u 3	1983
f u aI 4									0.000	0	0	0.0		0		0	0.000		9	6	1	2	K u aI 4, x u aI 4, k u aI 4, S u aI 4, Z u aI 4, C u aI 4, f u 4 aI 4, f u 4, u aI 4	91630
i u aI 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
i u aI 1									0.000	0	0	0.0		0		0	0.000		3	2	0	1	S u aI 1, k u aI 1, u aI 1	3119
i u aI 2									0.000	0	0	0.0		0		0	0.000		1	1	0	0	x u aI 2	754
i u aI 3									0.000	0	0	0.0		0		0	0.000		3	3	0	0	S u aI 3, k u aI 3, C u aI 3	1523
i u aI 4									0.000	0	0	0.0		0		0	0.000		9	6	2	1	K u aI 4, x u aI 4, k u aI 4, S u aI 4, Z u aI 4, C u aI 4, i 4 u aI 4, i 3 u aI 4, u aI 4	84467
J u aI 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
J u aI 1									0.000	0	0	0.0		0		0	0.000		3	2	0	1	S u aI 1, k u aI 1, u aI 1	3119
J u aI 2									0.000	0	0	0.0		0		0	0.000		1	1	0	0	x u aI 2	754
