Key	PY+T	Pho+T	IPA+T	PY-T	Pho-T	IPA-T	Tone	SyStruct	SyLen	OrthLen	PhoLen	FreqPM	Words	HomoDensity	Dominate-POS	Freq-Dominate-POS	Percent-Dominate-POS	Other-POSes	Num-Neighbors	R-Neighbors	A-Neighbors	S-Neighbors	Neighbors	Freq-Neighbors
J u a N									0.000	0	0	0.0		0		0	0.000		11	10	0	1	J i a N, Z u a N, C u a N, S u a N, k u a N, K u a N, x u a N, i u a N, y u a N, u u a N, u a N	85747
J u e I									0.000	0	0	0.0		0		0	0.000		16	14	1	1	x u e I, t u e I, z u e I, i u e I, S u e I, s u e I, T u e I, k u e I, Z u e I, C u e I, r u e I, c u e I, K u e I, u u e I, J i u e I, u e I	661991
J u n									0.000	0	0	0.0		0		0	0.000		15	15	0	0	J i n, x u n, t u n, k u n, C u n, l u n, J y n, Z u n, c u n, K u n, T u n, S u n, z u n, s u n, r u n	65816
J u N									0.000	0	0	0.0		0		0	0.000		1	1	0	0	J i N	44044
J u o									0.000	0	0	0.0		0		0	0.000		19	18	0	1	S u o, x u o, z u o, k u o, Z u o, t u o, c u o, s u o, m u o, l u o, T u o, p u o, P u o, r u o, n u o, C u o, K u o, i u o, u o	2602029
J y									0.000	0	0	0.0		0		0	0.000		15	8	6	1	Q y, J i, n y, X y, l y, @ y, i y, y y, J y n, J y E, J i y, i J y, J y @, y J y, y	290223
J y E									0.000	0	0	0.0		0		0	0.000		15	10	3	2	J i E, Q y E, X y E, J y n, y y E, l y E, n y E, u y E, J y @, i y E, J y E n, J y E i, J y E u, y E, J y	97800
J y E n									0.000	0	0	0.0		0		0	0.000		12	7	2	3	J i E n, Q y E n, X y E n, i y E n, J y E i, u y E n, J y E u, J y y E n, J i y E n, y E n, J y n, J y E	122258
J y E N									0.000	0	0	0.0		0		0	0.000		4	3	0	1	J y E n, J y E i, J y E u, J y E	5029
J y n									0.000	0	0	0.0		0		0	0.000		11	7	2	2	J i n, Q y n, J y E, X y n, @ y n, J y @, u y n, J y E n, J y n i, J y, y n	65551
J y N									0.000	0	0	0.0		0		0	0.000		5	4	0	1	J i N, J y n, J y E, J y @, J y	68295
K @									0.000	0	0	0.0		0		0	0.000		24	16	7	1	t @, Z @, k @, n @, C @, x @, K u, S @, r @, T @, K a, s @, l @, z @, c @, y @, K @ i, K @ n, i K @, K @ u, K @ N, u K @, y K @, @	2447796
k @ n									0.000	0	0	0.0		0		0	0.000		22	18	2	2	x @ n, r @ n, Z @ n, m @ n, u @ n, f @ n, k a n, S @ n, p @ n, k u n, K @ n, C @ n, z @ n, P @ n, s @ n, n @ n, k @ u, k @ N, k @ i n, k @ a n, k @, @ n	884224
k @ N									0.000	0	0	0.0		0		0	0.000		24	22	1	1	n @ N, k @ n, t @ N, Z @ N, C @ N, S @ N, f @ N, k a N, r @ N, m @ N, k o N, z @ N, P @ N, T @ N, l @ N, c @ N, x @ N, p @ N, K @ N, k @ u, u @ N, s @ N, k @ N i, k @	585976
K @ n									0.000	0	0	0.0		0		0	0.000		21	19	0	2	x @ n, r @ n, Z @ n, K a n, K @ i, k @ n, m @ n, u @ n, f @ n, S @ n, p @ n, K u n, C @ n, z @ n, P @ n, s @ n, K @ u, K @ N, n @ n, K @, @ n	987770
K @ N									0.000	0	0	0.0		0		0	0.000		24	23	0	1	n @ N, K @ i, t @ N, Z @ N, C @ N, S @ N, f @ N, r @ N, m @ N, z @ N, P @ N, K o N, T @ N, l @ N, K @ n, c @ N, x @ N, p @ N, K a N, K @ u, k @ N, u @ N, s @ N, K @	462927
k @ r									0.000	0	0	0.0		0		0	0.000		10	5	3	2	k @ n, y @ r, k @ u, k @ N, i @ r, k u @ r, k @ @ r, k @ r @, k @, @ r	309569
K @ r									0.000	0	0	0.0		0		0	0.000		8	6	0	2	K @ i, K @ n, K @ u, K @ N, y @ r, i @ r, K @, @ r	198788
k 1									0.000	0	0	0.0		0		0	0.000		10	10	0	0	S 1, k @, Z 1, s 1, c 1, C 1, z 1, k u, r 1, k a	1581947
K 1									0.000	0	0	0.0		0		0	0.000		10	10	0	0	S 1, Z 1, s 1, K @, c 1, C 1, z 1, K u, r 1, K a	1463376
k a									0.000	0	0	0.0		0		0	0.000		27	21	5	1	T a, p a, m a, n a, k @, t a, S a, l a, i a, C a, u a, f a, P a, k u, x a, z a, K a, Z a, s a, c a, a a, k a I, k a U, k a n, k a N, k u a, a	2193142
K a									0.000	0	0	0.0		0		0	0.000		27	21	5	1	T a, p a, m a, n a, t a, K @, S a, l a, i a, C a, u a, f a, K u, P a, x a, z a, Z a, s a, c a, a a, k a, K a n, K a I, K a U, K u a, K a N, a	2112946
k a I									0.000	0	0	0.0		0		0	0.000		23	20	1	2	z a I, l a I, k e I, T a I, t a I, c a I, x a I, K a I, k a U, m a I, P a I, k a n, k a N, p a I, u a I, s a I, n a I, C a I, Z a I, S a I, k u a I, a I, k a	1175790
K a I									0.000	0	0	0.0		0		0	0.000		23	19	2	2	z a I, l a I, K a n, T a I, t a I, c a I, k a I, x a I, m a I, P a I, K a U, p a I, u a I, s a I, n a I, C a I, K a N, Z a I, S a I, K u a I, K @ a I, a I, K a	1192995
k a n									0.000	0	0	0.0		0		0	0.000		31	24	5	2	K a n, t a n, k @ n, u a n, k a I, k a U, p a n, T a n, s a n, n a n, Z a n, f a n, k a N, S a n, m a n, l a n, k u n, x a n, P a n, c a n, C a n, z a n, r a n, i a n, k u a n, y k a n, k a n y, @ k a n, k @ a n, a n, k a	536029
k a N									0.000	0	0	0.0		0		0	0.000		28	24	2	2	r a N, S a N, p a N, k a I, t a N, k a U, Z a N, f a N, C a N, u a N, k a n, m a N, T a N, i a N, k o N, c a N, l a N, P a N, z a N, K a N, s a N, x a N, n a N, k @ N, k u a N, y k a N, a N, k a	546682
K a n									0.000	0	0	0.0		0		0	0.000		28	24	2	2	t a n, u a n, K a I, p a n, T a n, s a n, n a n, k a n, Z a n, f a n, K a U, S a n, m a n, l a n, x a n, P a n, K @ n, c a n, K u n, C a n, z a n, r a n, K a N, i a n, K u a n, K a n u, a n, K a	327919
K a N									0.000	0	0	0.0		0		0	0.000		28	24	2	2	r a N, S a N, K a n, p a N, t a N, K a I, Z a N, f a N, C a N, u a N, k a N, K a U, m a N, T a N, i a N, c a N, K o N, l a N, P a N, z a N, s a N, x a N, K @ N, n a N, K u a N, K a N i, K a, a N	618609
k a r									0.000	0	0	0.0		0		0	0.000		5	4	0	1	k a I, k a U, k a n, k a N, k a	92685
K a r									0.000	0	0	0.0		0		0	0.000		5	4	0	1	K a n, K a I, K a U, K a N, K a	145433
k a U									0.000	0	0	0.0		0		0	0.000		26	21	3	2	x a U, i a U, t a U, Z a U, k a I, k o U, z a U, l a U, k a n, P a U, k a N, p a U, S a U, K a U, T a U, C a U, m a U, c a U, n a U, r a U, s a U, y k a U, k a U y, k a U @, a U, k a	1057837
K a U									0.000	0	0	0.0		0		0	0.000		24	21	1	2	x a U, i a U, t a U, K a n, Z a U, K a I, k a U, z a U, l a U, P a U, p a U, S a U, T a U, C a U, m a U, K o U, c a U, n a U, r a U, K a N, s a U, i K a U, K a, a U	1127430
k E									0.000	0	0	0.0		0		0	0.000		5	5	0	0	k @, i E, y E, k u, k a	357230
K E									0.000	0	0	0.0		0		0	0.000		5	5	0	0	i E, K @, y E, K u, K a	238659
k e I									0.000	0	0	0.0		0		0	0.000		15	12	2	1	m e I, t e I, u e I, p e I, S e I, x e I, k a I, f e I, l e I, n e I, P e I, z e I, k u e I, k e I y, e I	623020
K e I									0.000	0	0	0.0		0		0	0.000		15	13	1	1	m e I, k e I, t e I, u e I, p e I, S e I, x e I, K a I, f e I, l e I, n e I, P e I, z e I, K u e I, e I	723063
k E n									0.000	0	0	0.0		0		0	0.000		5	5	0	0	k @ n, y E n, k a n, i E n, k u n	121065
K E n									0.000	0	0	0.0		0		0	0.000		5	5	0	0	K a n, y E n, i E n, K @ n, K u n	142837
k i									0.000	0	0	0.0		0		0	0.000		20	18	1	1	n i, k @, l i, J i, Q i, p i, t i, X i, T i, m i, P i, k u, i i, u i, a i, @ i, y i, k a, k u i, i	2070749
K i									0.000	0	0	0.0		0		0	0.000		20	18	1	1	n i, l i, J i, K @, Q i, p i, t i, X i, T i, K u, m i, P i, i i, K a, u i, a i, @ i, y i, K @ i, i	2030270
k i @									0.000	0	0	0.0		0		0	0.000		3	2	0	1	J i @, Q i @, k @	187837
K i @									0.000	0	0	0.0		0		0	0.000		3	2	0	1	J i @, Q i @, K @	60956
k i @ n									0.000	0	0	0.0		0		0	0.000		1	0	0	1	, k @ n	66451
k i @ N									0.000	0	0	0.0		0		0	0.000		1	0	0	1	, k @ N	130
K i @ n									0.000	0	0	0.0		0		0	0.000		1	0	0	1	, K @ n	2394
K i @ N									0.000	0	0	0.0		0		0	0.000		1	0	0	1	, K @ N	348
k i @ r									0.000	0	0	0.0		0		0	0.000		5	4	0	1	t i @ r, k u @ r, l i @ r, k @ @ r, i @ r	6991
K i @ r									0.000	0	0	0.0		0		0	0.000		3	2	0	1	t i @ r, l i @ r, i @ r	6552
k i a									0.000	0	0	0.0		0		0	0.000		9	7	0	2	X i a, J i a, k u a, Q i a, u i a, a i a, i i a, i a, k a	123548
K i a									0.000	0	0	0.0		0		0	0.000		9	7	0	2	X i a, J i a, K u a, Q i a, u i a, a i a, i i a, i a, K a	123467
k i a n									0.000	0	0	0.0		0		0	0.000		7	5	0	2	k u a n, T i a n, l i a n, X i a n, k @ a n, k a n, i a n	34968
k i a N									0.000	0	0	0.0		0		0	0.000		10	8	0	2	X i a N, l i a N, J i a N, i i a N, Q i a N, k u a N, n i a N, u i a N, k a N, i a N	457930
K i a n									0.000	0	0	0.0		0		0	0.000		6	4	0	2	K u a n, T i a n, l i a n, X i a n, K a n, i a n	105898
K i a N									0.000	0	0	0.0		0		0	0.000		10	8	0	2	X i a N, l i a N, J i a N, i i a N, Q i a N, K u a N, n i a N, u i a N, i a N, K a N	444693
k i a r									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
K i a r									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
k i a U									0.000	0	0	0.0		0		0	0.000		13	11	0	2	l i a U, J i a U, X i a U, T i a U, t i a U, Q i a U, m i a U, P i a U, n i a U, p i a U, i i a U, i a U, k a U	1426266
K i a U									0.000	0	0	0.0		0		0	0.000		13	11	0	2	l i a U, J i a U, X i a U, T i a U, t i a U, Q i a U, m i a U, P i a U, n i a U, p i a U, i i a U, i a U, K a U	1407986
k i E									0.000	0	0	0.0		0		0	0.000		12	11	0	1	p i E, X i E, J i E, Q i E, T i E, l i E, t i E, u i E, m i E, n i E, P i E, i E	297293
K i E									0.000	0	0	0.0		0		0	0.000		12	11	0	1	p i E, X i E, J i E, Q i E, T i E, l i E, t i E, u i E, m i E, n i E, P i E, i E	297293
k i E n									0.000	0	0	0.0		0		0	0.000		15	13	1	1	Q i E n, t i E n, J i E n, T i E n, n i E n, X i E n, p i E n, l i E n, P i E n, m i E n, y i E n, i i E n, u i E n, k @ i E n, i E n	438017
K i E n									0.000	0	0	0.0		0		0	0.000		15	13	1	1	Q i E n, t i E n, J i E n, T i E n, n i E n, X i E n, p i E n, l i E n, P i E n, m i E n, y i E n, i i E n, u i E n, K @ i E n, i E n	438233
k i n									0.000	0	0	0.0		0		0	0.000		14	12	1	1	k @ n, X i n, J i n, n i n, k a n, k u n, Q i n, P i n, l i n, m i n, p i n, y i n, k @ i n, i n	187119
k i N									0.000	0	0	0.0		0		0	0.000		14	13	0	1	T i N, J i N, X i N, Q i N, p i N, l i N, m i N, t i N, k a N, k o N, P i N, n i N, k @ N, i N	313450
K i n									0.000	0	0	0.0		0		0	0.000		13	12	0	1	K a n, X i n, J i n, n i n, Q i n, K @ n, P i n, K u n, l i n, m i n, p i n, y i n, i n	208832
K i N									0.000	0	0	0.0		0		0	0.000		14	13	0	1	T i N, J i N, X i N, Q i N, p i N, l i N, m i N, t i N, P i N, K o N, K a N, n i N, K @ N, i N	301398
k i o n									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
k i o N									0.000	0	0	0.0		0		0	0.000		9	6	1	2	X i o N, Q i o N, u i o N, J i o N, i i o N, y i o N, k u i o N, i o N, k o N	63986
K i o n									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
K i o N									0.000	0	0	0.0		0		0	0.000		9	6	1	2	X i o N, Q i o N, u i o N, J i o N, i i o N, y i o N, K @ i o N, i o N, K o N	61925
k i o U									0.000	0	0	0.0		0		0	0.000		10	7	1	2	J i o U, Q i o U, l i o U, X i o U, t i o U, n i o U, m i o U, k u i o U, i o U, k o U	712367
