Key	PY+T	Pho+T	IPA+T	PY-T	Pho-T	IPA-T	Tone	SyStruct	SyLen	OrthLen	PhoLen	FreqPM	Words	HomoDensity	Dominate-POS	Freq-Dominate-POS	Percent-Dominate-POS	Other-POSes	Num-Neighbors	R-Neighbors	A-Neighbors	S-Neighbors	Neighbors	Freq-Neighbors
i a I 0									0.000	0	0	0.0		0		0	0.000		1	0	0	1	, i a 0	10700
i a I 1									0.000	0	0	0.0		0		0	0.000		16	14	0	2	i a U 1, k a I 1, K a I 1, x a I 1, t a I 1, P a I 1, c a I 1, C a I 1, u a I 1, z a I 1, T a I 1, p a I 1, s a I 1, i a N 1, i a 1, a I 1	161644
i a I 2									0.000	0	0	0.0		0		0	0.000		13	11	0	2	l a I 2, c a I 2, T a I 2, P a I 2, p a I 2, i a N 2, m a I 2, i a U 2, x a I 2, Z a I 2, C a I 2, i a 2, a I 2	240335
i a I 3									0.000	0	0	0.0		0		0	0.000		14	12	0	2	m a I 3, i a N 3, p a I 3, i a U 3, k a I 3, x a I 3, c a I 3, n a I 3, z a I 3, K a I 3, Z a I 3, t a I 3, a I 3, i a 3	33163
i a I 4									0.000	0	0	0.0		0		0	0.000		19	17	0	2	z a I 4, i a U 4, T a I 4, t a I 4, m a I 4, P a I 4, u a I 4, i a N 4, s a I 4, x a I 4, c a I 4, p a I 4, k a I 4, n a I 4, l a I 4, S a I 4, Z a I 4, a I 4, i a 4	900983
c u a I 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
C u a I 0									0.000	0	0	0.0		0		0	0.000		2	2	0	0	C u a I 4, C u a I 3	227
c u a I 1									0.000	0	0	0.0		0		0	0.000		6	4	0	2	S u a I 1, k u a I 1, c u e I 1, c u a n 1, c a I 1, u a I 1	10049
c u a I 2									0.000	0	0	0.0		0		0	0.000		2	1	0	1	x u a I 2, c a I 2	37797
c u a I 3									0.000	0	0	0.0		0		0	0.000		4	3	0	1	S u a I 3, k u a I 3, C u a I 3, c a I 3	3264
c u a I 4									0.000	0	0	0.0		0		0	0.000		10	8	0	2	K u a I 4, x u a I 4, k u a I 4, S u a I 4, Z u a I 4, c u e I 4, C u a I 4, c u a n 4, u a I 4, c a I 4	83571
f u a I 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
f u a I 1									0.000	0	0	0.0		0		0	0.000		3	2	0	1	S u a I 1, k u a I 1, u a I 1	3119
f u a I 2									0.000	0	0	0.0		0		0	0.000		1	1	0	0	x u a I 2	754
f u a I 3									0.000	0	0	0.0		0		0	0.000		3	3	0	0	S u a I 3, k u a I 3, C u a I 3	1523
